# Seed Scan Leaderboard
# window=1111
rank,s1,s2,hits,density
1,535,683,43,0.039
2,521,748,42,0.038
3,541,748,41,0.037
4,502,631,41,0.037
5,692,691,41,0.037
6,693,509,39,0.035
7,603,704,39,0.035
8,747,601,39,0.035
9,582,641,38,0.034
10,659,727,38,0.034
11,599,557,38,0.034
12,617,521,38,0.034
13,501,673,37,0.033
14,747,671,37,0.033
15,737,567,37,0.033
16,641,678,37,0.033
17,516,643,37,0.033
18,727,601,37,0.033
19,743,709,37,0.033
20,621,643,36,0.032
21,709,612,36,0.032
22,732,661,36,0.032
23,571,718,36,0.032
24,542,521,36,0.032
25,578,609,35,0.032
26,503,634,35,0.032
27,674,587,35,0.032
28,713,544,35,0.032
29,567,571,35,0.032
30,711,653,35,0.032
31,618,689,35,0.032
32,733,606,35,0.032
33,628,569,35,0.032
34,639,722,35,0.032
35,573,514,35,0.032
36,567,664,35,0.032
37,683,584,35,0.032
38,543,599,34,0.031
39,653,570,34,0.031
40,536,633,34,0.031
41,504,677,34,0.031
42,613,504,34,0.031
43,524,545,34,0.031
44,713,639,34,0.031
45,504,607,34,0.031
46,661,708,34,0.031
47,661,667,34,0.031
48,516,713,34,0.031
49,530,519,34,0.031
50,727,576,34,0.031
